쌀/과일/농수축산물$8.7$90.0$194169
기저귀/분유/유아식$2.9$74.9$84290
시계/쥬얼리/액세서리$0.7$74.3$36307
여행/숙박/항공권$2.5$74.0$47432
블랙박스/내비/튜닝용품$0.9$60.3$43032
커피/차/생수/음료$1.9$59.0$218342
저장장치/태블릿/게임$2.9$57.7$93374
휴대폰/액세서리$2.3$57.3$306130
DSLR/디카/액세서리$2.9$55.0$57852
여성의류$1.1$52.6$142587
문구/사무/용지/팬시$1.1$52.5$99043
물티슈/생리대/성인패드$0.6$52.4$107834
e쿠폰/상품권/이용권$0.5$51.9$146836
PC부품/주변기기$2.7$51.6$138197
남성의류/캐주얼의류$0.7$50.5$101098
세제/세정/방향/제지$1.4$48.1$225310
여성화/남성화/스니커즈$0.6$44.8$95569
애완용품$0.9$44.6$89882
브랜드,남성의류/언더웨어$0.3$44.4$34474
공구/산업용품/도어락$2.3$43.0$123087
자전거/스키/레저용품$1.4$43.0$73513
노트북/데스크탑$6.2$42.6$40456
캠핑/낚시$2.6$42.6$132290
에어컨/선풍기/제습기$4.2$42.2$115252
가방/패션잡화$0.7$42.1$129113
구기/수영/헬스/다이어트$2.1$41.7$192106
언더웨어/잠옷/보정속옷$0.4$41.7$62217
장난감/인형/유아교육$1.6$41.2$144928
출산/유아용품/임부복$1.7$40.9$149004
도서/음반/티켓$1.0$40.7$117888
유아동의류/잡화$0.5$40.4$65825
빅사이즈/미시의류$0.4$40.3$45242
건강/비데/실버용품$1.2$39.7$101553
생활/수납/욕실/청소$1.5$39.6$195630
라면/통조림/과자/조미료$1.0$39.4$143670
해외쇼핑$1.6$39.2$72647
건강식품/홍삼/다이어트$1.5$39.0$137341
침구/커튼/카페트$1.1$38.7$98410
자동차용품$1.7$38.6$160924
브랜드,캐주얼의류$0.3$38.1$45080
홈/인테리어/DIY$1.0$37.4$91953
모니터/프린터/잉크$2.2$36.4$58339
취미/악기/프라모델/꽃$0.8$36.1$63624
음향/프로젝터/AV$1.2$35.3$56492
주방/수입주방$1.3$34.6$153376
주방/이미용/생활가전$3.2$34.6$152384
헤어/바디$0.9$34.3$159918
화장품/향수/미용$2.2$34.1$292201
스포츠의류/운동화/용품$1.2$30.9$107510
TV/냉장고/세탁기$7.6$30.7$38806
골프클럽/의류/용품$1.1$30.3$39735
등산/아웃도어$0.6$29.2$46796
가구/수납가구/학생가구$3.1$29.0$112526
브랜드,시계/쥬얼리$0.5$26.5$20077
브랜드,신발/가방/잡화$1.1$26.3$74196
브랜드,여성의류/언더웨어$0.5$19.4$39615
수입명품$0.5$17.7$10618
티켓/공연/전시/스포츠$0.0$15.4$1353
